Scene	Found Episode
s01e10_scene005_0601_0621	s01e10
s01e14_scene004_0510_0530	s01e14
s01e17_scene000_0043_0063	s01e17
s01e09_scene003_0551_0571	s01e09
s01e03_scene008_1062_1082	s01e03
s01e13_scene005_0697_0717	s01e13
s01e15_scene008_1049_1069	s01e15
s01e16_scene010_1052_1072	s01e16
s01e02_scene009_1098_1118	s01e02
s01e08_scene004_1132_1141	s01e08
s01e02_scene002_0439_0459	s01e02
s01e11_scene006_0759_0779	s01e11
s01e02_scene002_0399_0419	s01e02
s01e16_scene002_0370_0390	s01e16
s01e14_scene007_0890_0910	s01e14
s01e05_scene000_0142_0162	s01e05
s01e06_scene002_0241_0261	s01e06
s01e06_scene002_0341_0345	s01e06
s01e03_scene009_1262_1278	s01e03
s01e03_scene003_0500_0520	s01e03
s01e17_scene002_0324_0344	s01e17
s01e02_scene002_0379_0399	s01e02
s01e02_scene008_0981_1001	s01e02
s01e02_scene009_1078_1098	s01e02
s01e08_scene003_0806_0826	s01e08
s01e06_scene000_0049_0069	s01e06
s01e10_scene001_0253_0273	s01e10
s01e02_scene001_0328_0348	s01e02
s01e17_scene002_0404_0424	s01e17
s01e11_scene008_0948_0968	s01e11
s01e09_scene001_0266_0286	s01e09
s01e16_scene002_0390_0410	s01e16
s01e15_scene008_1089_1109	s01e15
s01e15_scene006_0873_0893	s01e15
s01e05_scene000_0102_0122	s01e05
s01e04_scene003_0316_0321	s01e04
s01e06_scene003_0655_0675	s01e06
s01e10_scene004_0550_0570	s01e10
s01e09_scene000_0102_0122	s01e09
s01e03_scene001_0228_0248	s01e03
s01e13_scene002_0332_0352	s01e13
s01e14_scene008_1071_1091	s01e14
s01e05_scene003_0490_0510	s01e05
s01e02_scene001_0248_0268	s01e02
s01e09_scene005_0827_0835	s01e09
s01e17_scene005_0803_0823	s01e17
s01e06_scene003_0875_0895	s01e06
s01e08_scene002_0655_0675	s01e08
s01e15_scene006_0813_0833	s01e15
s01e17_scene002_0424_0429	s01e17
s01e11_scene002_0308_0328	s01e11
s01e12_scene009_0977_0997	s01e12
s01e07_scene005_1115_1135	s01e07
s01e12_scene002_0299_0319	s01e12
s01e11_scene008_0968_0988	s01e11
s01e04_scene009_0914_0934	s01e04
s01e07_scene004_0998_1018	s01e07
s01e11_scene009_1057_1077	s01e11
s01e09_scene002_0531_0545	s01e09
s01e12_scene009_0937_0957	s01e12
s01e13_scene002_0312_0332	s01e13
s01e12_scene010_1093_1113	s01e12
s01e06_scene003_0535_0555	s01e06
s01e10_scene000_0102_0122	s01e10
s01e04_scene010_1028_1048	s01e04
s01e08_scene000_0170_0190	s01e08
s01e15_scene001_0236_0256	s01e15
s01e02_scene010_1208_1228	s01e02
s01e03_scene005_0656_0676	s01e03
s01e14_scene003_0227_0247	s01e14
s01e14_scene005_0639_0659	s01e14
s01e12_scene009_1057_1077	s01e12
s01e09_scene000_0062_0082	s01e09
s01e07_scene004_1058_1078	s01e07
s01e15_scene000_0082_0102	s01e15
s01e02_scene008_1001_1021	s01e02
s01e06_scene003_0455_0475	s01e06
s01e12_scene008_0738_0758	s01e12
s01e16_scene000_0107_0127	s01e16
s01e14_scene003_0287_0305	s01e14
s01e13_scene004_0513_0533	s01e13
s01e07_scene002_0662_0682	s01e07
s01e04_scene005_0473_0484	s01e04
s01e07_scene001_0303_0323	s01e07
s01e09_scene001_0326_0346	s01e09
s01e03_scene006_0768_0788	s01e03
s01e13_scene005_0717_0737	s01e13
s01e13_scene003_0433_0453	s01e13
s01e12_scene003_0442_0459	s01e12
s01e13_scene006_1194_1214	s01e13
s01e08_scene000_0230_0250	s01e08
s01e05_scene004_0705_0725	s01e05
s01e09_scene002_0431_0451	s01e09
s01e16_scene010_1112_1113	s01e16
s01e03_scene007_0977_0997	s01e03
s01e13_scene004_0593_0613	s01e13
s01e16_scene007_0803_0823	s01e16
s01e15_scene006_0933_0935	s01e15
s01e11_scene007_0849_0869	s01e11
s01e15_scene008_1149_1167	s01e15
s01e11_scene002_0288_0308	s01e11
s01e07_scene001_0343_0363	s01e07
s01e06_scene003_0935_0955	s01e06
s01e13_scene001_0161_0181	s01e13
s01e02_scene000_0122_0142	s01e02
s01e04_scene009_0954_0974	s01e04
s01e09_scene006_0876_0896	s01e09
s01e10_scene000_0042_0062	s01e10
s01e14_scene000_0002_0022	s01e14
s01e14_scene007_0830_0850	s01e14
s01e05_scene006_1059_1071	s01e05
s01e12_scene009_0897_0917	s01e12
s01e09_scene000_0002_0022	s01e09
s01e14_scene003_0267_0287	s01e14
s01e08_scene002_0495_0515	s01e08
s01e05_scene001_0234_0254	s01e05
s01e09_scene001_0226_0246	s01e09
s01e09_scene000_0122_0142	s01e09
s01e06_scene003_0595_0615	s01e06
s01e09_scene003_0691_0703	s01e09
s01e14_scene002_0173_0193	s01e14
s01e09_scene001_0186_0206	s01e09
s01e09_scene006_0916_0936	s01e09
s01e02_scene010_1228_1236	s01e02
s01e06_scene003_0695_0715	s01e06
s01e10_scene004_0450_0470	s01e10
s01e08_scene000_0250_0253	s01e08
s01e10_scene004_0470_0490	s01e10
s01e12_scene005_0577_0590	s01e12
s01e10_scene007_0956_0976	s01e10
s01e04_scene004_0385_0405	s01e04
s01e02_scene009_1118_1130	s01e02
s01e17_scene006_0981_1001	s01e17
s01e05_scene000_0202_0212	s01e05
s01e02_scene006_0778_0798	s01e02
s01e10_scene001_0293_0313	s01e10
s01e14_scene007_0930_0950	s01e14
s01e11_scene006_0819_0825	s01e11
s01e10_scene003_0419_0430	s01e10
s01e04_scene009_0774_0794	s01e04
s01e10_scene007_0916_0936	s01e10
s01e04_scene009_0814_0834	s01e04
s01e13_scene005_0997_1017	s01e13
s01e06_scene003_0855_0875	s01e06
s01e13_scene005_0817_0837	s01e13
s01e04_scene010_1008_1028	s01e04
s01e02_scene001_0348_0368	s01e02
s01e08_scene000_0110_0130	s01e08
s01e07_scene001_0323_0343	s01e07
s01e15_scene003_0391_0411	s01e15
s01e11_scene006_0779_0799	s01e11
s01e04_scene012_1091_1111	s01e04
s01e11_scene006_0719_0739	s01e11
s01e04_scene009_0794_0814	s01e04
s01e06_scene000_0009_0029	s01e06
s01e10_scene004_0430_0450	s01e10
s01e05_scene000_0122_0142	s01e05
s01e08_scene000_0050_0070	s01e08
s01e08_scene003_0706_0726	s01e08
s01e17_scene004_0616_0618	s01e17
s01e16_scene006_0734_0754	s01e16
s01e15_scene006_0853_0873	s01e15
s01e08_scene004_0992_1012	s01e08
s01e17_scene001_0227_0239	s01e17
s01e05_scene005_0863_0883	s01e05
s01e13_scene003_0393_0413	s01e13
s01e06_scene005_1203_1207	s01e06
s01e06_scene004_1017_1037	s01e06
s01e06_scene004_0997_1017	s01e06
s01e11_scene009_1097_1117	s01e11
s01e08_scene001_0297_0317	s01e08
s01e11_scene007_0829_0849	s01e11
s01e15_scene008_0969_0989	s01e15
s01e15_scene008_0949_0969	s01e15
s01e06_scene002_0281_0301	s01e06
s01e07_scene006_1215_1235	s01e07
s01e08_scene001_0397_0417	s01e08
s01e16_scene005_0615_0635	s01e16
s01e14_scene006_0773_0793	s01e14
s01e12_scene008_0758_0778	s01e12
s01e07_scene003_0935_0955	s01e07
s01e06_scene003_0575_0595	s01e06
s01e13_scene006_1154_1174	s01e13
s01e09_scene003_0671_0691	s01e09
s01e17_scene005_0643_0663	s01e17
s01e04_scene000_0043_0063	s01e04
s01e04_scene013_1179_1199	s01e04
s01e06_scene004_1137_1157	s01e06
s01e06_scene004_1037_1057	s01e06
s01e10_scene001_0273_0293	s01e10
s01e05_scene006_0959_0979	s01e05
s01e17_scene002_0244_0264	s01e17
s01e09_scene007_1049_1069	s01e09
s01e14_scene007_1030_1047	s01e14
s01e14_scene006_0753_0773	s01e14
s01e02_scene000_0162_0182	s01e02
s01e02_scene007_0964_0973	s01e02
s01e14_scene004_0530_0550	s01e14
s01e02_scene005_0594_0614	s01e02
s01e10_scene006_0797_0817	s01e10
s01e13_scene002_0252_0272	s01e13
s01e07_scene001_0463_0483	s01e07
s01e02_scene006_0878_0880	s01e02
s01e02_scene006_0758_0778	s01e02
s01e15_scene008_1069_1089	s01e15
s01e03_scene007_0897_0917	s01e03
s01e06_scene002_0301_0321	s01e06
s01e06_scene001_0211_0231	s01e06
s01e09_scene007_1029_1049	s01e09
s01e13_scene005_1017_1037	s01e13
s01e02_scene000_0182_0202	s01e02
s01e15_scene000_0102_0122	s01e15
s01e14_scene000_0042_0062	s01e14
s01e10_scene007_1096_1116	s01e10
s01e02_scene008_1021_1041	s01e02
s01e04_scene008_0695_0715	s01e04
s01e12_scene006_0673_0690	s01e12
s01e08_scene000_0070_0090	s01e08
s01e15_scene006_0893_0913	s01e15
s01e02_scene001_0368_0378	s01e02
s01e16_scene008_0934_0954	s01e16
s01e04_scene008_0735_0751	s01e04
s01e06_scene004_1077_1097	s01e06
s01e07_scene003_0895_0915	s01e07
s01e08_scene003_0826_0846	s01e08
s01e13_scene004_0573_0593	s01e13
s01e09_scene000_0142_0161	s01e09
s01e09_scene004_0754_0764	s01e09
s01e13_scene002_0232_0252	s01e13
s01e08_scene000_0030_0050	s01e08
s01e02_scene006_0818_0838	s01e02
s01e12_scene001_0204_0224	s01e12
s01e12_scene000_0106_0126	s01e12
s01e15_scene008_1029_1049	s01e15
s01e11_scene009_1217_1237	s01e11
s01e09_scene004_0714_0734	s01e09
s01e06_scene003_0635_0655	s01e06
s01e10_scene007_0876_0896	s01e10
s01e13_scene005_0937_0957	s01e13
s01e15_scene000_0042_0062	s01e15
s01e08_scene004_1052_1072	s01e08
s01e14_scene005_0619_0639	s01e14
s01e02_scene005_0634_0651	s01e02
s01e13_scene005_0857_0877	s01e13
s01e12_scene009_1037_1057	s01e12
s01e06_scene002_0261_0281	s01e06
s01e07_scene004_1078_1098	s01e07
s01e09_scene002_0391_0411	s01e09
s01e07_scene005_1175_1195	s01e07
s01e03_scene010_1282_1292	s01e03
s01e05_scene000_0182_0202	s01e05
s01e17_scene000_0083_0097	s01e17
s01e12_scene006_0653_0673	s01e12
s01e15_scene000_0122_0142	s01e15
s01e04_scene012_1131_1151	s01e04
s01e07_scene000_0042_0062	s01e07
s01e03_scene001_0308_0318	s01e03
s01e05_scene003_0610_0630	s01e05
s01e13_scene001_0201_0221	s01e13
s01e04_scene004_0405_0410	s01e04
s01e13_scene005_0897_0917	s01e13
s01e07_scene006_1195_1215	s01e07
s01e17_scene006_1041_1047	s01e17
s01e17_scene002_0384_0404	s01e17
s01e05_scene007_1176_1178	s01e05
s01e13_scene004_0673_0675	s01e13
s01e08_scene004_1032_1052	s01e08
s01e03_scene000_0051_0071	s01e03
s01e06_scene000_0109_0129	s01e06
s01e11_scene008_0908_0928	s01e11
s01e16_scene006_0674_0694	s01e16
s01e04_scene009_0894_0914	s01e04
s01e14_scene004_0330_0350	s01e14
s01e12_scene004_0543_0563	s01e12
s01e12_scene009_0837_0857	s01e12
s01e14_scene004_0390_0410	s01e14
s01e11_scene000_0047_0067	s01e11
s01e13_scene002_0352_0369	s01e13
s01e07_scene001_0223_0243	s01e07
s01e04_scene003_0276_0296	s01e04
s01e03_scene005_0696_0716	s01e03
s01e07_scene003_0915_0935	s01e07
s01e12_scene009_1077_1089	s01e12
s01e10_scene007_0976_0996	s01e10
s01e16_scene010_1012_1032	s01e16
s01e06_scene003_0755_0775	s01e06
s01e17_scene001_0207_0227	s01e17
s01e16_scene003_0515_0535	s01e16
s01e11_scene008_0988_1003	s01e11
s01e09_scene000_0082_0102	s01e09
s01e16_scene010_1072_1092	s01e16
s01e05_scene007_1136_1156	s01e05
s01e13_scene006_1134_1154	s01e13
s01e12_scene000_0086_0106	s01e12
s01e05_scene007_1076_1096	s01e05
s01e14_scene001_0123_0126	s01e14
s01e05_scene007_1156_1176	s01e05
s01e13_scene006_1114_1134	s01e13
s01e17_scene005_0683_0703	s01e17
s01e13_scene005_0977_0997	s01e13
s01e03_scene000_0071_0091	s01e03
s01e10_scene008_1123_1143	s01e10
s01e10_scene004_0490_0510	s01e10
s01e05_scene003_0470_0490	s01e05
s01e03_scene008_1002_1022	s01e03
s01e11_scene003_0497_0517	s01e11
s01e03_scene003_0460_0480	s01e03
s01e07_scene000_0082_0102	s01e07
s01e10_scene004_0510_0530	s01e10
s01e08_scene000_0010_0030	s01e08
s01e08_scene002_0575_0595	s01e08
s01e16_scene004_0588_0592	s01e16
s01e10_scene005_0741_0751	s01e10
s01e08_scene003_0906_0926	s01e08
s01e02_scene009_1058_1078	s01e02
s01e03_scene007_0937_0957	s01e03
s01e09_scene001_0306_0326	s01e09
s01e17_scene005_0763_0783	s01e17
s01e12_scene000_0066_0086	s01e12
s01e02_scene006_0718_0738	s01e02
s01e16_scene008_0954_0967	s01e16
s01e10_scene006_0757_0777	s01e10
s01e13_scene005_0677_0697	s01e13
s01e09_scene005_0787_0807	s01e09
s01e15_scene004_0628_0648	s01e15
s01e14_scene006_0733_0753	s01e14
s01e11_scene002_0368_0388	s01e11
s01e16_scene002_0430_0450	s01e16
s01e15_scene002_0373_0389	s01e15
s01e15_scene003_0491_0511	s01e15
s01e03_scene003_0480_0500	s01e03
s01e08_scene004_1092_1112	s01e08
s01e10_scene000_0002_0022	s01e10
s01e17_scene000_0003_0023	s01e17
s01e14_scene008_1091_1111	s01e14
s01e03_scene001_0248_0268	s01e03
s01e16_scene010_1032_1052	s01e16
s01e16_scene001_0313_0331	s01e16
s01e11_scene004_0534_0554	s01e11
s01e06_scene003_0955_0968	s01e06
s01e17_scene005_0663_0683	s01e17
s01e16_scene000_0087_0107	s01e16
s01e14_scene007_0850_0870	s01e14
s01e14_scene004_0550_0570	s01e14
s01e07_scene002_0802_0822	s01e07
s01e10_scene007_0996_1016	s01e10
s01e16_scene006_0714_0734	s01e16
s01e09_scene003_0571_0591	s01e09
s01e05_scene004_0785_0802	s01e05
s01e12_scene000_0126_0140	s01e12
s01e04_scene008_0655_0675	s01e04
s01e14_scene003_0247_0267	s01e14
s01e02_scene006_0798_0818	s01e02
s01e12_scene004_0563_0575	s01e12
s01e10_scene006_0777_0797	s01e10
s01e14_scene004_0410_0430	s01e14
s01e07_scene001_0483_0503	s01e07
s01e12_scene001_0164_0184	s01e12
s01e11_scene001_0255_0272	s01e11
s01e14_scene006_0793_0804	s01e14
s01e14_scene004_0310_0330	s01e14
s01e10_scene003_0399_0419	s01e10
s01e16_scene001_0293_0313	s01e16
s01e11_scene009_1177_1197	s01e11
s01e17_scene005_0703_0723	s01e17
s01e07_scene001_0263_0283	s01e07
s01e11_scene004_0614_0631	s01e11
s01e04_scene003_0256_0276	s01e04
s01e11_scene009_1237_1240	s01e11
s01e09_scene001_0346_0366	s01e09
s01e03_scene002_0322_0342	s01e03
s01e17_scene005_0623_0643	s01e17
s01e04_scene008_0675_0695	s01e04
s01e08_scene002_0475_0495	s01e08
s01e08_scene000_0130_0150	s01e08
s01e02_scene007_0924_0944	s01e02
s01e03_scene008_1122_1142	s01e03
s01e10_scene005_0721_0741	s01e10
s01e17_scene005_0743_0763	s01e17
s01e16_scene001_0253_0273	s01e16
s01e10_scene001_0313_0331	s01e10
s01e07_scene004_1018_1038	s01e07
s01e16_scene007_0863_0883	s01e16
s01e12_scene002_0359_0379	s01e12
s01e04_scene009_0834_0854	s01e04
s01e05_scene004_0765_0785	s01e05
s01e03_scene001_0188_0208	s01e03
s01e17_scene008_1111_1131	s01e17
s01e17_scene006_0941_0961	s01e17
s01e05_scene006_0939_0959	s01e05
s01e05_scene005_0903_0923	s01e05
s01e06_scene001_0191_0211	s01e06
s01e05_scene005_0823_0843	s01e05
s01e13_scene000_0082_0102	s01e13
s01e12_scene002_0279_0299	s01e12
s01e06_scene001_0231_0234	s01e06
s01e17_scene004_0556_0576	s01e17
s01e05_scene003_0570_0590	s01e05
s01e02_scene000_0002_0022	s01e02
s01e03_scene001_0148_0168	s01e03
s01e04_scene000_0023_0043	s01e04
s01e10_scene004_0570_0576	s01e10
s01e16_scene002_0470_0485	s01e16
s01e11_scene003_0517_0531	s01e11
s01e10_scene004_0530_0550	s01e10
s01e02_scene000_0022_0042	s01e02
s01e07_scene002_0622_0642	s01e07
s01e04_scene000_0003_0023	s01e04
s01e04_scene001_0097_0117	s01e04
s01e15_scene009_1172_1192	s01e15
s01e04_scene003_0216_0236	s01e04
s01e12_scene002_0259_0279	s01e12
s01e14_scene004_0470_0490	s01e14
s01e16_scene009_0970_0988	s01e16
s01e05_scene003_0510_0530	s01e05
s01e09_scene002_0491_0511	s01e09
s01e03_scene006_0788_0807	s01e03
s01e17_scene005_0903_0923	s01e17
s01e11_scene002_0408_0413	s01e11
s01e11_scene001_0235_0255	s01e11
s01e07_scene005_1155_1175	s01e07
s01e04_scene004_0365_0385	s01e04
s01e13_scene002_0292_0312	s01e13
s01e13_scene004_0493_0513	s01e13
s01e08_scene003_0886_0906	s01e08
s01e10_scene005_0641_0661	s01e10
s01e05_scene004_0745_0765	s01e05
s01e02_scene010_1188_1208	s01e02
s01e11_scene004_0594_0614	s01e11
s01e12_scene009_1017_1037	s01e12
s01e17_scene005_0783_0803	s01e17
s01e04_scene001_0117_0137	s01e04
s01e16_scene004_0568_0588	s01e16
s01e17_scene000_0023_0043	s01e17
s01e16_scene001_0233_0253	s01e16
s01e17_scene004_0596_0616	s01e17
s01e15_scene007_0944_0948	s01e15
s01e03_scene000_0011_0031	s01e03
s01e14_scene002_0153_0173	s01e14
s01e04_scene004_0325_0345	s01e04
s01e15_scene000_0162_0172	s01e15
s01e15_scene005_0704_0724	s01e15
s01e08_scene003_0926_0946	s01e08
s01e17_scene003_0435_0455	s01e17
s01e07_scene001_0403_0423	s01e07
s01e17_scene003_0475_0495	s01e17
s01e11_scene003_0417_0437	s01e11
s01e05_scene001_0214_0234	s01e05
s01e10_scene005_0701_0721	s01e10
s01e02_scene000_0042_0062	s01e02
s01e07_scene001_0523_0527	s01e07
s01e04_scene009_0934_0954	s01e04
s01e05_scene002_0409_0429	s01e05
s01e11_scene005_0644_0664	s01e11
s01e11_scene007_0869_0889	s01e11
s01e06_scene003_0515_0535	s01e06
s01e06_scene003_0415_0435	s01e06
s01e03_scene002_0442_0456	s01e03
s01e02_scene000_0102_0122	s01e02
s01e07_scene002_0782_0802	s01e07
s01e07_scene002_0822_0828	s01e07
s01e13_scene005_1037_1057	s01e13
s01e09_scene006_0976_0996	s01e09
s01e09_scene007_1069_1089	s01e09
s01e09_scene003_0611_0631	s01e09
s01e05_scene002_0389_0409	s01e05
s01e14_scene005_0659_0679	s01e14
s01e05_scene001_0274_0279	s01e05
s01e17_scene003_0455_0475	s01e17
s01e11_scene001_0215_0235	s01e11
s01e09_scene000_0042_0062	s01e09
s01e17_scene005_0843_0863	s01e17
s01e05_scene006_1019_1039	s01e05
s01e09_scene001_0366_0368	s01e09
s01e04_scene001_0137_0154	s01e04
s01e11_scene003_0477_0497	s01e11
s01e06_scene001_0171_0191	s01e06
s01e15_scene008_1009_1029	s01e15
s01e09_scene005_0767_0787	s01e09
s01e09_scene001_0206_0226	s01e09
s01e12_scene009_0917_0937	s01e12
s01e08_scene001_0357_0377	s01e08
s01e02_scene000_0202_0222	s01e02
s01e05_scene001_0254_0274	s01e05
s01e03_scene008_1142_1162	s01e03
s01e09_scene007_1089_1109	s01e09
s01e14_scene002_0213_0225	s01e14
s01e11_scene003_0437_0457	s01e11
s01e03_scene008_1082_1102	s01e03
s01e12_scene009_0877_0897	s01e12
s01e13_scene004_0633_0653	s01e13
s01e14_scene005_0679_0699	s01e14
s01e15_scene005_0684_0704	s01e15
s01e02_scene007_0904_0924	s01e02
s01e14_scene000_0062_0082	s01e14
s01e14_scene007_0910_0930	s01e14
s01e13_scene006_1174_1194	s01e13
s01e03_scene007_0917_0937	s01e03
s01e03_scene003_0520_0540	s01e03
s01e02_scene006_0678_0698	s01e02
s01e09_scene006_0996_0999	s01e09
s01e06_scene004_1057_1077	s01e06
s01e15_scene005_0764_0784	s01e15
s01e11_scene004_0554_0574	s01e11
s01e02_scene010_1168_1188	s01e02
s01e12_scene008_0718_0738	s01e12
s01e17_scene004_0576_0596	s01e17
s01e04_scene009_0974_0981	s01e04
s01e17_scene006_1001_1021	s01e17
s01e16_scene007_0923_0929	s01e16
s01e14_scene000_0102_0115	s01e14
s01e08_scene003_0786_0806	s01e08
s01e11_scene005_0664_0684	s01e11
s01e10_scene000_0062_0082	s01e10
s01e09_scene001_0246_0266	s01e09
s01e09_scene004_0734_0754	s01e09
s01e14_scene005_0599_0619	s01e14
s01e02_scene002_0419_0439	s01e02
s01e05_scene000_0062_0082	s01e05
s01e08_scene003_0846_0866	s01e08
s01e02_scene000_0062_0082	s01e02
s01e16_scene006_0774_0778	s01e16
s01e05_scene007_1116_1136	s01e05
s01e04_scene002_0155_0170	s01e04
s01e08_scene002_0515_0535	s01e08
s01e17_scene002_0264_0284	s01e17
s01e09_scene003_0651_0671	s01e09
s01e07_scene000_0062_0082	s01e07
s01e09_scene000_0022_0042	s01e09
s01e17_scene005_0723_0743	s01e17
s01e04_scene007_0595_0615	s01e04
s01e16_scene003_0495_0515	s01e16
s01e14_scene000_0022_0042	s01e14
s01e16_scene005_0635_0655	s01e16
s01e09_scene002_0411_0431	s01e09
s01e04_scene003_0296_0316	s01e04
s01e15_scene009_1212_1232	s01e15
s01e04_scene011_1074_1086	s01e04
s01e03_scene000_0031_0051	s01e03
s02e04_scene002_0459_0479	s02e04
s01e05_scene006_0999_1019	s01e05
s01e12_scene006_0613_0633	s01e12
s01e05_scene004_0685_0705	s01e05
s01e03_scene008_1042_1062	s01e03
s01e13_scene004_0533_0553	s01e13
s01e15_scene004_0648_0655	s01e15
s01e10_scene000_0082_0102	s01e10
s01e03_scene009_1202_1222	s01e03
s01e07_scene002_0702_0722	s01e07
s01e11_scene005_0684_0704	s01e11
s01e07_scene001_0363_0383	s01e07
s01e14_scene002_0193_0213	s01e14
s01e17_scene007_1082_1102	s01e17
s01e15_scene005_0784_0804	s01e15
s01e08_scene005_1153_1173	s01e08
s01e14_scene005_0719_0732	s01e14
s01e07_scene000_0022_0042	s01e07
s01e03_scene008_1162_1182	s01e03
s01e03_scene001_0288_0308	s01e03
s01e16_scene002_0350_0370	s01e16
s01e17_scene001_0187_0207	s01e17
s01e13_scene001_0221_0230	s01e13
s01e04_scene003_0196_0216	s01e04
s01e03_scene001_0168_0188	s01e03
s01e17_scene004_0516_0536	s01e17
s01e08_scene002_0555_0575	s01e08
s01e07_scene001_0423_0443	s01e07
s01e09_scene006_0956_0976	s01e09
s01e04_scene010_0988_1008	s01e04
s02e04_scene004_0835_0855	s02e04
s01e08_scene003_0726_0746	s01e08
s01e13_scene001_0181_0201	s01e13
s01e15_scene000_0142_0162	s01e15
s01e08_scene004_1012_1032	s01e08
s01e10_scene002_0334_0354	s01e10
s01e11_scene000_0127_0144	s01e11
s01e17_scene005_0923_0938	s01e17
s01e05_scene006_0979_0999	s01e05
s01e10_scene002_0374_0377	s01e10
s01e08_scene001_0317_0337	s01e08
s02e04_scene005_1039_1059	s02e04
s01e16_scene007_0823_0843	s01e16
s01e16_scene000_0007_0027	s01e16
s01e07_scene003_0955_0972	s01e07
s01e02_scene005_0554_0574	s01e02
s01e02_scene002_0459_0479	s01e02
s01e03_scene007_0857_0877	s01e03
s01e13_scene006_1094_1114	s01e13
s01e10_scene006_0837_0844	s01e10
s01e08_scene001_0417_0437	s01e08
s01e11_scene009_1137_1157	s01e11
s02e04_scene002_0319_0339	s02e04
s01e15_scene003_0411_0431	s01e15
s01e04_scene008_0635_0655	s01e04
s01e12_scene000_0006_0026	s01e12
s01e10_scene007_1076_1096	s01e10
s01e15_scene005_0664_0684	s01e15
s01e06_scene006_1211_1227	s01e06
s02e04_scene004_0955_0975	s02e04
s01e10_scene007_0896_0916	s01e10
s01e15_scene002_0273_0293	s01e15
s01e06_scene003_0895_0915	s01e06
s01e05_scene004_0725_0745	s01e05
s02e14_scene004_0774_0781	s02e14
s01e14_scene007_0810_0830	s01e14
s01e07_scene006_1235_1242	s01e07
s01e10_scene001_0233_0253	s01e10
s01e08_scene001_0337_0357	s01e08
s01e06_scene000_0089_0109	s01e06
s01e16_scene007_0883_0903	s01e16
s02e11_scene000_0162_0182	s02e11
s01e07_scene003_0835_0855	s01e07
s01e12_scene010_1113_1127	s01e12
s01e12_scene009_0997_1017	s01e12
s01e04_scene012_1151_1171	s01e04
s01e17_scene005_0863_0883	s01e17
s01e16_scene010_1092_1112	s01e16
s01e07_scene004_1038_1058	s01e07
s01e02_scene008_1041_1042	s01e02
s01e11_scene003_0457_0477	s01e11
s01e02_scene000_0222_0223	s01e02
s01e07_scene001_0283_0303	s01e07
s01e03_scene007_0957_0977	s01e03
s01e10_scene005_0681_0701	s01e10
s01e10_scene007_1116_1120	s01e10
s01e15_scene004_0588_0608	s01e15
s01e07_scene001_0243_0263	s01e07
s01e15_scene005_0804_0811	s01e15
s01e13_scene000_0042_0062	s01e13
s01e12_scene009_0957_0977	s01e12
s01e08_scene003_0866_0886	s01e08
s01e02_scene006_0738_0758	s01e02
s02e04_scene005_1119_1139	s02e04
s01e09_scene007_1009_1029	s01e09
s01e07_scene005_1135_1155	s01e07
s01e15_scene000_0002_0022	s01e15
s01e08_scene002_0635_0655	s01e08
s01e12_scene004_0463_0483	s01e12
s01e15_scene002_0313_0333	s01e15
s01e07_scene001_0443_0463	s01e07
s01e17_scene006_0961_0981	s01e17
s01e16_scene002_0410_0430	s01e16
s01e14_scene007_0990_1010	s01e14
s01e03_scene005_0676_0696	s01e03
s01e06_scene003_0475_0495	s01e06
